"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2017",191.875,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2017",126.078,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2017",41.672,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2017",223.904,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2017",65.304,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2017",51.871,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2017",8.364,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2017",2.493,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2017",2.576,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2017",648.833,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2017",28.366,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2017",199.937,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2017",15.443,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2017",79.19,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2017",28.639,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2017",9.03,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2017",3.948,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2017",13.635,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2017",44.165,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2017",220.172,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2017",6.308,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2017",583.529,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2017",27.343,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2017",149.63,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2017",14.902,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2017",74.227,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2017",26.145,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2017",8.687,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2017",3.759,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2017",13.26,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2017",41.672,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2017",218.232,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2017",5.672,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2017",65.304,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2017",1.023,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2017",50.307,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2017",,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2017",4.963,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2017",2.494,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2017",,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2017",,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2017",,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2017",2.493,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2017",1.94,"U",,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2017",,"U",,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",948.327,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",518.074,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",237.012,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",43.49,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",149.75,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2021",716.539,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2021",360.102,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2021",188.471,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2021",21.451,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2021",146.514,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2021",231.788,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2021",157.972,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2021",48.541,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2021",22.039,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2021",,"U",,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",948.327,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",66.154,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",332.324,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",119.596,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",33.368,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",165.695,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2021",0.961,"U",,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",11.072,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",25.917,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2021",43.49,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2021",149.75,,,,"R1:3513"
"AGO","BA:13951","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2021",716.539,,,,"R1:3513"
