"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2019",23.51,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2018",23.71,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2018",26.43,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2018",21.54,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2017",22.35,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2017",24.67,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2017",20.52,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2016",20.66,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2016",23.06,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2016",18.73,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_T","2015",18.29,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_M","2015",20.31,,"T30:68","R1:3513"
"BRA","BX:6355","EAR_HUBL_SEX_NB","SEX_F","2015",16.7,,"T30:68","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_T","2022",114.97,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_M","2022",114.16,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_F","2022",116.8,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_T","2021",117.93,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_M","2021",120.09,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_F","2021",113.73,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_T","2020",123.52,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_M","2020",123.38,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_F","2020",123.86,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_T","2019",113.8,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_M","2019",113.39,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_F","2019",114.81,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_T","2018",86.9,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_M","2018",88.64,,"T30:115","R1:3513"
"BTN","BA:625","EAR_HUBL_SEX_NB","SEX_F","2018",82.56,,"T30:115","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_T","2023",73.38,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_M","2023",85.89,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_F","2023",64.82,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_T","2022",59.01,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_M","2022",72.19,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_F","2022",49.99,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_T","2021",53.76,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_M","2021",61.36,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_F","2021",49.57,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_T","2020",52.47,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_M","2020",61.28,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_F","2020",46.91,,"T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_T","2019",52.1,"B","I11:264_T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_M","2019",60.57,"B","I11:264_T30:4","R1:3513"
"BWA","BX:15710","EAR_HUBL_SEX_NB","SEX_F","2019",45.96,"B","I11:264_T30:4","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2023",42.62,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2023",44.87,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2023",41.22,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2022",41.24,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2022",43.51,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2022",39.84,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2021",39.68,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2021",42.61,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2021",37.87,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2020",40.98,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2020",43.32,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_F","2020",39.52,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_T","2019",39.06,,"T30:69","R1:3513"
"CAN","BA:147","EAR_HUBL_SEX_NB","SEX_M","2019",41.24,,"T30:69","R1:3513"
