"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2021",776.82,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2021",4.55,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2021",1.54,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2021",649.79,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2021",3.81,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2021",1.29,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",723.91,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",4.34,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",1.48,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2020",789.07,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2020",4.73,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2020",1.61,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2020",666.42,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2020",4,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2020",1.36,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",670.76,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",4.02,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",1.4,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2019",758.17,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2019",4.54,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2019",1.58,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2019",600.34,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2019",3.6,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2019",1.25,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2018",625.08,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2018",3.73,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2018",1.29,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2018",684.3,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2018",4.09,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2018",1.42,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2018",575.74,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2018",3.44,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2018",1.19,,"I11:264_T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",586.96,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",3.51,,"T30:111","R1:3513_T3:240"
